"Fecha"	"BITCOIN_COINDESK"	"USD_EUR"	"USD_BZR"	"USD_INR"	"USD_MEX"	"USD_JPY"	"USD_SWF"	"day"	"month"	"year"	"BITCOIN_COINDESK_sintend"	"USD_EUR_sintend"	"USD_BZR_sintend"	"USD_INR_sintend"	"USD_MEX_sintend"	"USD_JPY_sintend"	"USD_SWF_sintend"
2014.54274996609	628.22	0.739918608953015	0.447908268386634	0.0165755014089176	0.077154540544711	0.00986485153398441	1.11247079764156	"18"	"7"	"2014"	156.321137399673	-0.036144423087823	0.039796426677747	0.00026136096364316	0.0035189394679801	0.000599349723324642	0.0197247808392955
2014.54549112754	625.8	0.739754401538689	0.4487927475092	0.0165837479270315	0.0771396613568866	0.00986582478295185	1.11284219897619	"19"	"7"	"2014"	155.184044647217	-0.0366919549576188	0.0410629804790952	0.000272207523382605	0.00353093689128613	0.000603569265382426	0.0202871455604769
2014.54823228898	621.37	0.739590266992086	0.449680726684054	0.0165920026547204	0.0771247879068333	0.00986679822397632	1.11321384838027	"20"	"7"	"2014"	152.033019895554	-0.0372389215228802	0.0423324415459129	0.000283060059205462	0.00354294005236318	0.000607781841319183	0.0208495520486214
2014.55097345043	620.01	0.739426205264715	0.450572226727945	0.0166002656042497	0.0771099201912326	0.00986777185711466	1.11358574610245	"21"	"7"	"2014"	151.948063621521	-0.0377853230067221	0.0436048306367404	0.000293918583604405	0.00355494894789295	0.000611987452101262	0.0214120005960068
2014.55371461187	618.81	0.742390497401633	0.453103760761214	0.0166223404255319	0.0773066367747671	0.00984833563127831	1.10840168477056	"22"	"7"	"2014"	152.019175109863	-0.0352028781312546	0.046516660871921	0.000318586746037366	0.00377854214255791	0.000595776044821104	0.0164182838013769
2014.55645577332	617.93	0.742831674342594	0.450775333573747	0.0166666666666667	0.0773634535045644	0.00985221674876847	1.10815602836879	"23"	"7"	"2014"	152.406354598999	-0.0351430561895568	0.0445679371577533	0.000365504095513339	0.00386223548348566	0.000602874823598899	0.0163627656634711
2014.55919693476	600.01	0.742500742500742	0.451019303626195	0.016636167027117	0.0771902740254728	0.00982125319190729	1.10815602836879	"24"	"7"	"2014"	135.749602088928	-0.0358548506520674	0.0451910177220596	0.000337593331040605	0.00371593261552444	0.000575121769847298	0.0165526976393815
2014.56193809621	599.93	0.744546199091654	0.448712195997487	0.016655562958028	0.0772200772200772	0.00982221785679206	1.10558319513543	"25"	"7"	"2014"	136.928917818069	-0.0341897642450041	0.0432624278765986	0.000359575903309629	0.0037726124212593	0.000579289778754115	0.0141695900939813
2014.56467925765	593.85	0.744379931517046	0.448631673396142	0.0166472448809722	0.077145612343298	0.00982189628077531	1.1059092417149	"26"	"7"	"2014"	132.104301309586	-0.0347359096248556	0.0435598300970583	0.000353842234574974	0.00372502415561049	0.000582164389490842	0.0146851560880061
2014.5674204191	590.95	0.744213738185607	0.448551179689603	0.0166389351081531	0.0770712909441233	0.00982157472581434	1.10623548065932	"27"	"7"	"2014"	130.455752801895	-0.0352814883829354	0.0438566684837133	0.000348114636812738	0.00367757936756627	0.000585031862650564	0.0152007081590366
2014.57016158054	584.69	0.744047619047619	0.448470714862319	0.0166306336271412	0.0769971126082772	0.00982125319190729	1.10656191213898	"28"	"7"	"2014"	125.443272533417	-0.035826500627168	0.0441529429628056	0.000342393097593499	0.00363027764285057	0.000587892199595642	0.01571624650647
