"","x","y","Rmag","ApD_Rmag","MC_z","UjMag","BjMag","VjMag","S280Mag","BjMag.comp"
"427",-0.851223720257971,-1.75065717635234,-0.677540860740352,-0.175533203208493,-1.46272386701058,-0.118317965600748,-0.390378788035526,-0.456443206680241,1.57256077445291,1.44528294125842
"428",-1.08663505002988,-1.74339601206333,-0.00859599787214679,-0.175533203208493,-0.144052511999109,-0.0762019233993793,-0.196311500624911,-0.205721715133286,-0.0851796367366769,-0.163668411016715
"429",0.198500373590914,-1.74303732250377,0.731005592624114,-0.175533203208493,0.12887511049782,0.850351005030754,0.884920529234223,0.906173595205381,-0.223752364607013,0.101886666543258
"439",-0.961110174041472,-1.74764970235296,0.616303112708441,-0.175533203208493,0.689094967202042,1.69267184905815,0.926506376536499,0.666353038073513,-0.577882669164541,-0.241772845593179
"441",-0.0924693269169357,-1.74441689773284,-0.143486114252977,-0.175533203208493,0.29550460633805,-0.476304324312386,-0.570584126345381,-0.619957222906518,-0.516294790111057,-0.74164122688254
"451",-0.440600769480225,-1.74526303720667,0.989774387313873,-0.175533203208493,0.84423277367398,0.766118920628009,0.718577140025128,0.655452103658426,-0.583014992418997,-0.325084242474737
"452",-0.700271418219257,-1.74291316073315,-0.246259536257422,-0.175533203208493,-1.04040428272586,0.639770794023911,0.80174883462968,0.677253972488596,0.505037537525867,0.810033540036524
"460",0.718161457038517,-1.74326725170861,0.883330485952129,-0.175533203208493,-0.416980134496037,0.0712042243054223,-0.196311500624911,-0.412839469019899,0.689801174686316,0.622582897053012
"469",-0.319548455593588,-1.74382827896843,0.0694016884705117,-0.175533203208493,-1.34206112864352,0.42919058301706,0.441338158009966,0.252117530300283,1.35187087451126,1.53380130044508
"470",-0.233605976279464,-1.74121628320139,1.01638536265431,-0.175533203208493,-1.5144364691679,1.12410527933966,0.829472732831194,0.786263316639447,2.07039613013523,2.40857096770147
"471",0.00949798264862817,-1.74094496673968,0.787898022662286,-0.175533203208493,-0.942724923095384,1.37680153254787,1.37008874776076,1.29860723414844,0.669271881668489,1.19014178830864
"485",0.360360930368413,-1.74095416390787,0.189609887422137,-0.175533203208493,-1.67532012032398,0.134378287607472,-0.210173449725669,-0.391037600189731,2.75812744623245,2.71578174370222
"486",-0.473960664163863,-1.74756232925512,-0.460064958820237,-0.175533203208493,-1.85918715021665,-1.21333506283636,-1.47161081789466,-1.63374412350942,4.52877896902009,4.03835016919699
"487",1.70638449088416,-1.74257746409408,0.904435742256612,-0.175533203208493,-1.06626058380452,0.97669913163486,1.06512586754408,1.1786969555825,0.96694663042699,1.37759243129215
"488",0.0336507062925663,-1.7419474580728,0.109776961400829,-0.175533203208493,0.847105696016053,0.787176941728697,0.482924005312237,0.557343693922661,-1.09624731786469,-0.934298832171149
